name,price,product_category,rating
Crown of Midnight (Throne of Glass #2),43.29,fantasy_19,Three
"Codename Baboushka, Volume 1: The Conclave of Death",36.72,sequential-art_5,Four
Camp Midnight,17.08,sequential-art_5,Four
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,29.14,nonfiction_13,Five
Burning,28.81,young-adult_21,Three
Bossypants,49.46,default_15,Two
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",37.92,sequential-art_5,Two
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",28.09,fantasy_19,Two
Algorithms to Live By: The Computer Science of Human Decisions,30.81,nonfiction_13,One
A World of Flavor: Your Gluten Free Passport,42.95,default_15,One
"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",56.76,default_15,Five
A Murder in Time,16.64,mystery_3,One
A Flight of Arrows (The Pathfinders #2),55.53,historical-fiction_4,Five
A Fierce and Subtle Poison,28.13,young-adult_21,Four
A Court of Thorns and Roses (A Court of Thorns and Roses #1),52.37,fantasy_19,One
(Un)Qualified: How God Uses Broken People to Do Big Things,54.00,christian_43,Five
You Are What You Love: The Spiritual Power of Habit,21.87,religion_12,Four
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",43.30,science-fiction_16,Four
Tuesday Nights in 1980,21.04,fiction_10,Two
Tracing Numbers on a Train,41.60,default_15,Three
Throne of Glass (Throne of Glass #1),35.07,fantasy_19,Three
Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,59.64,history_32,One
Thirteen Reasons Why,52.72,default_15,One
The White Cat and the Monk: A Retelling of the Poem âPangur BÃ¡nâ,58.08,childrens_11,Four
The Wedding Dress,24.12,romance_8,One
The Vacationers,42.15,fiction_10,Four
The Third Wave: An Entrepreneurâs Vision of the Future,12.61,business_35,Five
The Stranger,17.44,philosophy_7,Four
The Shadow Hero (The Shadow Hero),33.14,sequential-art_5,One
The Secret (The Secret #1),27.37,default_15,Four
The Regional Office Is Under Attack!,51.36,fiction_10,Five
The Psychopath Test: A Journey Through the Madness Industry,36.00,default_15,Two
The Project,10.65,science-fiction_16,One
The Power of Now: A Guide to Spiritual Enlightenment,43.54,nonfiction_13,Two
The Omnivore's Dilemma: A Natural History of Four Meals,38.21,nonfiction_13,Two
The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,37.34,food-and-drink_33,Five
The Murder of Roger Ackroyd (Hercule Poirot #4),44.10,mystery_3,Four
The Mistake (Off-Campus #2),43.29,new-adult_20,Three
The Matchmaker's Playbook (Wingmen Inc. #1),55.85,new-adult_20,One
The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,37.60,food-and-drink_33,Two
The Long Shadow of Small Ghosts: Murder and Memory in an American City,10.97,crime_51,One
The Kite Runner,41.82,default_15,Four
The House by the Lake,36.95,historical-fiction_4,One
The Glittering Court (The Glittering Court #1),44.28,fantasy_19,One
The Girl on the Train,55.02,default_15,Two
The Genius of Birds,17.24,nonfiction_13,One
The Emerald Mystery,23.15,default_15,Two
The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,41.25,food-and-drink_33,One
The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,32.00,default_15,Three
The Artist's Way: A Spiritual Path to Higher Creativity,38.49,nonfiction_13,Five
The Art of War,33.34,default_15,Five
The Argonauts,10.93,autobiography_27,Two
The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,27.55,business_35,Three
Suddenly in Love (Lake Haven #1),55.99,romance_8,Two
Something More Than This,16.24,romance_8,Four
Soft Apocalypse,26.12,science-fiction_16,Two
So You've Been Publicly Shamed,12.23,nonfiction_13,Two
Shoe Dog: A Memoir by the Creator of NIKE,23.99,business_35,Two
"Shobu Samurai, Project Aryoku (#3)",29.06,add-a-comment_18,Three
Secrets and Lace (Fatal Hearts #1),20.27,default_15,One
Scarlett Epstein Hates It Here,43.55,young-adult_21,Five
Romero and Juliet: A Tragic Tale of Love and Zombies,36.94,default_15,One
Redeeming Love,20.47,christian-fiction_34,Five
Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,41.06,default_15,One
Poems That Make Grown Women Cry,14.19,poetry_23,Four
"Nightingale, Sing",38.28,young-adult_21,One
Night Sky with Exit Wounds,41.05,poetry_23,One
Mrs. Houdini,30.25,historical-fiction_4,Five
Modern Romance,28.26,add-a-comment_18,Five
Miss Peregrineâs Home for Peculiar Children (Miss Peregrineâs Peculiar Children #1),10.76,default_15,One
Louisa: The Extraordinary Life of Mrs. Adams,16.85,biography_36,Two
Little Red,13.47,childrens_11,Three
Library of Souls (Miss Peregrineâs Peculiar Children #3),48.56,young-adult_21,Five
Large Print Heart of the Pride,19.15,default_15,Two
I Had a Nice Time And Other Lies...: How to find love & sh*t like that,57.36,womens-fiction_9,Four
Hollow City (Miss Peregrineâs Peculiar Children #2),42.98,fantasy_19,One
Grumbles,22.16,default_15,Two
Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,49.43,travel_2,Four
Frostbite (Vampire Academy #2),29.99,young-adult_21,Five
Follow You Home,21.36,horror_31,One
First Steps for New Christians (Print Edition),29.00,default_15,One
Finders Keepers (Bill Hodges Trilogy #2),53.53,fiction_10,Five
"Fables, Vol. 1: Legends in Exile (Fables #1)",41.62,sequential-art_5,Four
Eureka Trivia 6.0,54.59,default_15,Four
Drive: The Surprising Truth About What Motivates Us,34.95,default_15,Four
Done Rubbed Out (Reightman & Bailey #1),37.72,default_15,Five
Doing It Over (Most Likely To #1),35.61,romance_8,Three
"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",42.16,food-and-drink_33,Three
Dark Notes,19.19,erotica_50,Five
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",19.43,nonfiction_13,Three
Close to You,49.46,christian-fiction_34,Four
Chasing Heaven: What Dying Taught Me About Living,37.80,spirituality_39,Two
Big Magic: Creative Living Beyond Fear,30.80,nonfiction_13,Three
Becoming Wise: An Inquiry into the Mystery and Art of Living,27.43,nonfiction_13,Two
Beauty Restored (Riley Family Legacy Novellas #3),11.11,default_15,Two
Batman: The Long Halloween (Batman),36.50,sequential-art_5,Two
Batman: The Dark Knight Returns (Batman),15.38,sequential-art_5,Five
Ayumi's Violin,15.48,default_15,Two
Anonymous,46.82,default_15,Four
Amy Meets the Saints and Sages,18.46,default_15,Three
Amid the Chaos,36.58,cultural_49,One
Amatus,50.54,default_15,Five
Agnostic: A Spirited Manifesto,12.51,nonfiction_13,Five
Zealot: The Life and Times of Jesus of Nazareth,24.70,history_32,Three
You (You #1),43.61,thriller_37,Five
"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",37.34,sequential-art_5,Four
Wild Swans,14.36,young-adult_21,Two
Why the Right Went Wrong: Conservatism--From Goldwater to the Tea Party and Beyond,52.65,politics_48,Four
Whole Lotta Creativity Going On: 60 Fun and Unusual Exercises to Awaken and Strengthen Your Creativity,38.20,nonfiction_13,Four
What's It Like in Space?: Stories from Astronauts Who've Been There,19.60,nonfiction_13,Two
"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",53.90,sequential-art_5,One
Walt Disney's Alice in Wonderland,12.96,childrens_11,Five
V for Vendetta (V for Vendetta Complete),37.10,default_15,Four
Until Friday Night (The Field Party #1),46.31,young-adult_21,Two
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",45.95,default_15,Two
Twenty Yawns,22.08,childrens_11,Two
Through the Woods,25.38,sequential-art_5,Two
This Is Where It Ends,27.12,young-adult_21,Two
The Year of Magical Thinking,43.04,nonfiction_13,Two
The Wright Brothers,56.80,default_15,Four
The White Queen (The Cousins' War #1),25.91,add-a-comment_18,Five
The Wedding Pact (The O'Malleys #2),32.61,romance_8,Three
The Time Keeper,27.88,fiction_10,Five
The Testament of Mary,52.67,fiction_10,Four
The Star-Touched Queen,46.02,fantasy_19,Five
The Songs of the Gods,44.48,default_15,Five
The Song of Achilles,37.40,add-a-comment_18,Five
The Rosie Project (Don Tillman #1),54.04,default_15,One
The Power of Habit: Why We Do What We Do in Life and Business,16.88,default_15,Three
The Marriage of Opposites,28.08,historical-fiction_4,Four
The Lucifer Effect: Understanding How Good People Turn Evil,10.40,psychology_26,One
The Long Haul (Diary of a Wimpy Kid #9),44.07,humor_30,One
The Loney,23.40,horror_31,One
The Literature Book (Big Ideas Simply Explained),17.43,nonfiction_13,Three
The Last Mile (Amos Decker #2),54.21,mystery_3,Two
The Immortal Life of Henrietta Lacks,40.67,add-a-comment_18,Two
The Hidden Oracle (The Trials of Apollo #1),52.26,fantasy_19,Two
The Help Yourself Cookbook for Kids: 60 Easy Plant-Based Recipes Kids Can Make to Stay Healthy and Save the Earth,28.77,food-and-drink_33,Three
The Guilty (Will Robie #4),13.82,thriller_37,Two
The First Hostage (J.B. Collins #2),25.85,fiction_10,Three
The Dovekeepers,48.78,add-a-comment_18,One
The Darkest Lie,35.35,young-adult_21,Five
The Bane Chronicles (The Bane Chronicles #1-11),44.73,fantasy_19,Four
The Bad-Ass Librarians of Timbuktu: And Their Race to Save the Worldâs Most Precious Manuscripts,15.77,nonfiction_13,One
The 14th Colony (Cotton Malone #11),39.24,thriller_37,One
That Darkness (Gardiner and Renner #1),13.92,mystery_3,One
Tastes Like Fear (DI Marnie Rome #3),10.69,mystery_3,One
Take Me with You,45.21,fiction_10,Three
Swell: A Year of Waves,45.58,nonfiction_13,One
Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),11.89,sequential-art_5,Five
Still Life with Bread Crumbs,26.41,fiction_10,Three
Steve Jobs,39.50,default_15,Five
Sorting the Beef from the Bull: The Science of Food Fraud Forensics,44.74,science_22,Four
Someone Like You (The Harrisons #2),52.79,contemporary_38,Five
"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",35.43,sequential-art_5,Four
Shtum,55.84,fiction_10,Four
See America: A Celebration of Our National Parks & Treasured Sites,48.87,travel_2,Three
salt.,46.78,poetry_23,Four
Robin War,47.82,sequential-art_5,Three
"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",25.48,sequential-art_5,Two
Rain Fish,23.57,childrens_11,Three
"Quarter Life Poetry: Poems for the Young, Broke and Hangry",50.89,poetry_23,Five
Pet Sematary,10.56,horror_31,Three
"Overload: How to Unplug, Unwind, and Unleash Yourself from the Pressure of Stress",52.15,self-help_41,Three
Once Was a Time,18.28,childrens_11,Two
Old School (Diary of a Wimpy Kid #10),11.83,humor_30,Five
No Dream Is Too High: Life Lessons From a Man Who Walked on the Moon,21.95,nonfiction_13,Two
"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",38.39,sequential-art_5,Two
My Name Is Lucy Barton,41.56,fiction_10,One
My Mrs. Brown,24.48,fiction_10,Three
My Kind of Crazy,40.36,young-adult_21,One
Mr. Mercedes (Bill Hodges Trilogy #1),28.90,fiction_10,One
More Than Music (Chasing the Dream #1),37.61,add-a-comment_18,Two
Made to Stick: Why Some Ideas Survive and Others Die,38.85,business_35,Five
Luis Paints the World,53.95,childrens_11,Three
Luckiest Girl Alive,49.83,default_15,Three
Lowriders to the Center of the Earth (Lowriders in Space #2),51.51,sequential-art_5,Two
Love Is a Mix Tape (Music #1),18.03,music_14,One
Looking for Lovely: Collecting the Moments that Matter,29.14,nonfiction_13,Five
"Living Leadership by Insight: A Good Leader Achieves, a Great Leader Builds Monuments",46.91,default_15,Four
Let It Out: A Journey Through Journaling,26.79,nonfiction_13,Five
Lady Midnight (The Dark Artifices #1),16.28,default_15,Five
"It's All Easy: Healthy, Delicious Weeknight Meals in under 30 Minutes",19.55,food-and-drink_33,One
Island of Dragons (Unwanteds #7),29.65,fantasy_19,One
I Know What I'm Doing -- and Other Lies I Tell Myself: Dispatches from a Life Under Construction,25.98,humor_30,Four
I Am Pilgrim (Pilgrim #1),10.60,fiction_10,Four
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",14.75,humor_30,Five
"Hush, Hush (Hush, Hush #1)",47.02,default_15,Three
Hold Your Breath (Search and Rescue #1),28.82,romance_8,One
Hamilton: The Revolution,58.79,nonfiction_13,Three
Greek Mythic History,10.23,default_15,Five
God: The Most Unpleasant Character in All Fiction,30.03,religion_12,Five
Glory over Everything: Beyond The Kitchen House,45.84,historical-fiction_4,Three
Feathers: Displays of Brilliant Plumage,49.05,art_25,Three
"Far & Away: Places on the Brink of Change: Seven Continents, Twenty-Five Years",15.06,nonfiction_13,Four
Every Last Word,46.47,default_15,Three
Eligible (The Austen Project #4),27.09,fiction_10,Three
El Deafo,57.62,sequential-art_5,Five
Eight Hundred Grapes,14.39,fiction_10,Four
"Eaternity: More than 150 Deliciously Easy Vegan Recipes for a Long, Healthy, Satisfied, Joyful Life",51.75,nonfiction_13,Five
"Eat Fat, Get Thin",54.07,health_47,Two
Don't Get Caught,55.35,young-adult_21,One
Doctor Sleep (The Shining #2),40.12,horror_31,Two
Demigods & Magicians: Percy and Annabeth Meet the Kanes (Percy Jackson & Kane Chronicles Crossover #1-3),37.51,fantasy_19,Five
Dear Mr. Knightley,11.21,fiction_10,Five
Daily Fantasy Sports,36.58,default_15,One
Crazy Love: Overwhelmed by a Relentless God,47.72,christian_43,Two
Cometh the Hour (The Clifton Chronicles #6),25.01,fiction_10,Three
Code Name Verity (Code Name Verity #1),22.13,add-a-comment_18,Four
Clockwork Angel (The Infernal Devices #1),44.14,default_15,One
City of Glass (The Mortal Instruments #3),56.02,fantasy_19,Four
City of Fallen Angels (The Mortal Instruments #4),11.23,default_15,Four
City of Bones (The Mortal Instruments #1),43.28,default_15,One
City of Ashes (The Mortal Instruments #2),47.27,default_15,One
Cell,20.29,add-a-comment_18,Four
Catching Jordan (Hundred Oaks),50.83,young-adult_21,Three
"Carry On, Warrior: Thoughts on Life Unarmed",31.85,default_15,Three
Carrie,46.23,default_15,Two
Buying In: The Secret Dialogue Between What We Buy and Who We Are,37.80,nonfiction_13,Four
Brain on Fire: My Month of Madness,49.32,nonfiction_13,Five
Batman: Europa,32.01,sequential-art_5,Two
Barefoot Contessa Back to Basics,28.01,food-and-drink_33,One
Barefoot Contessa at Home: Everyday Recipes You'll Make Over and Over Again,50.62,food-and-drink_33,Five
Balloon Animals,17.03,fiction_10,Three
Art Ops Vol. 1,48.80,sequential-art_5,Three
Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe #1),58.14,young-adult_21,Four
Angels Walking (Angels Walking #1),34.20,add-a-comment_18,Two
Angels & Demons (Robert Langdon #1),51.48,default_15,Three
All the Light We Cannot See,29.87,historical_42,Five
"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",10.90,sequential-art_5,Two
Abstract City,56.37,nonfiction_13,Five
A Time of Torment (Charlie Parker #14),48.35,mystery_3,Five
A Study in Scarlet (Sherlock Holmes #1),16.73,mystery_3,Two
"A Series of Catastrophes and Miracles: A True Story of Love, Science, and Cancer",56.48,add-a-comment_18,Two
A People's History of the United States,40.79,add-a-comment_18,Two
A Man Called Ove,39.72,fiction_10,One
A Distant Mirror: The Calamitous 14th Century,14.58,history_32,Three
A Brush of Wings (Angels Walking #3),55.51,add-a-comment_18,One
1491: New Revelations of the Americas Before Columbus,21.80,history_32,Three
"The Three Searches, Meaning, and the Story",13.33,default_15,Three
Searching for Meaning in Gailana,38.73,fantasy_19,One
Rook,37.86,add-a-comment_18,Four
My Kitchen Year: 136 Recipes That Saved My Life,11.53,food-and-drink_33,Two
13 Hours: The Inside Account of What Really Happened In Benghazi,27.06,nonfiction_13,One
Will You Won't You Want Me?,13.86,womens-fiction_9,Three
Tipping Point for Planet Earth: How Close Are We to the Edge?,37.55,science_22,One
The Star-Touched Queen,32.30,fantasy_19,Five
The Silent Sister (Riley MacPherson #1),46.29,fiction_10,Five
The Midnight Watch: A Novel of the Titanic and the Californian,26.20,add-a-comment_18,One
The Lonely City: Adventures in the Art of Being Alone,33.26,nonfiction_13,Two
The Gray Rhino: How to Recognize and Act on the Obvious Dangers We Ignore,59.15,add-a-comment_18,Four
The Golden Condom: And Other Essays on Love Lost and Found,39.43,psychology_26,One
The Epidemic (The Program 0.6),14.44,young-adult_21,Five
The Dinner Party,56.54,fiction_10,Two
The Diary of a Young Girl,59.90,nonfiction_13,Three
The Children,11.88,add-a-comment_18,Three
Stars Above (The Lunar Chronicles #4.5),48.05,young-adult_21,Two
Snatched: How A Drug Queen Went Undercover for the DEA and Was Kidnapped By Colombian Guerillas,21.21,nonfiction_13,Three
Raspberry Pi Electronics Projects for the Evil Genius,49.67,default_15,Four
Quench Your Own Thirst: Business Lessons Learned Over a Beer or Two,43.14,business_35,One
Psycho: Sanitarium (Psycho #1.5),36.97,horror_31,Five
Poisonous (Max Revere Novels #3),26.80,mystery_3,Three
One with You (Crossfire #5),15.71,add-a-comment_18,Four
No Love Allowed (Dodge Cove #1),54.65,young-adult_21,Four
Murder at the 42nd Street Library (Raymond Ambler #1),54.36,mystery_3,Four
Most Wanted,35.28,mystery_3,Three
"Love, Lies and Spies",20.55,historical-fiction_4,Two
How to Speak Golf: An Illustrated Guide to Links Lingo,58.32,default_15,Five
Hide Away (Eve Duncan #20),11.84,mystery_3,One
Furiously Happy: A Funny Book About Horrible Things,41.46,nonfiction_13,Four
Everyday Italian: 125 Simple and Delicious Recipes,20.10,food-and-drink_33,Five
Equal Is Unfair: America's Misguided Fight Against Income Inequality,56.86,politics_48,One
Eleanor & Park,56.51,default_15,Five
Dirty (Dive Bar #1),40.83,romance_8,Four
Can You Keep a Secret? (Fear Street Relaunch #4),48.64,horror_31,One
Boar Island (Anna Pigeon #19),59.48,mystery_3,Three
A Paris Apartment,39.01,historical-fiction_4,Four
"A la Mode: 120 Recipes in 60 Pairings: Pies, Tarts, Cakes, Crisps, and More Topped with Ice Cream, Gelato, Frozen Custard, and More",38.77,food-and-drink_33,One
Troublemaker: Surviving Hollywood and Scientology,48.39,default_15,Two
The Widow,27.26,mystery_3,Two
"The Sleep Revolution: Transforming Your Life, One Night at a Time",11.68,nonfiction_13,Four
The Improbability of Love,59.45,fiction_10,One
The Art of Startup Fundraising,21.00,business_35,Three
Take Me Home Tonight (Rock Star Romance #3),53.98,romance_8,Three
Sleeping Giants (Themis Files #1),48.74,science-fiction_16,One
"Setting the World on Fire: The Brief, Astonishing Life of St. Catherine of Siena",21.15,biography_36,Two
Playing with Fire,13.71,mystery_3,Three
Off the Hook (Fishing for Trouble #1),47.67,romance_8,Three
Mothering Sunday,13.34,fiction_10,Two
"Mother, Can You Not?",16.89,nonfiction_13,Five
M Train,27.18,autobiography_27,One
Lilac Girls,17.28,historical-fiction_4,Two
Lies and Other Acts of Love,45.14,fiction_10,One
Lab Girl,40.85,autobiography_27,One
Keep Me Posted,20.46,womens-fiction_9,Four
It Didn't Start with You: How Inherited Family Trauma Shapes Who We Are and How to End the Cycle,56.27,psychology_26,Three
Grey (Fifty Shades #4),48.49,womens-fiction_9,Four
"Exit, Pursued by a Bear",51.34,young-adult_21,Four
Daredevils,16.34,fiction_10,Three
Cravings: Recipes for What You Want to Eat,20.50,food-and-drink_33,Three
Born for This: How to Find the Work You Were Meant to Do,21.59,business_35,Five
Arena,21.36,science-fiction_16,Four
Adultery,20.88,default_15,Five
